Name,Positive,Negative,Rating,Positive(%)
Danganronpa 2: Goodbye Despair,"14,515",454,94.37%,96.97%
Danganronpa: Trigger Happy Havoc,"17,380",575,94.35%,96.80%
Rabi-Ribi,"8,859",238,94.34%,97.38%
Tabletop Simulator,"38,670","1,515",94.33%,96.23%
NEKOPARA Vol. 3,"10,131",288,94.32%,97.24%
Duck Game,"27,950","1,040",94.31%,96.41%
Stronghold Crusader HD,"9,776",276,94.31%,97.25%
NEKOPARA Vol. 4,"4,969",102,94.31%,97.99%
Ori and the Blind Forest: Definitive Edition,"42,171","1,700",94.28%,96.13%
Monster Prom 2: Monster Camp,"3,015",42,94.28%,98.63%
Zup! F,"5,017",107,94.25%,97.91%
Cube Escape Collection,"1,995",16,94.22%,99.20%
HuniePop,"24,914",934,94.21%,96.39%
Monster Train,"11,641",362,94.20%,96.98%
Gorilla Tag,"4,286",85,94.20%,98.06%
Tales of the Black Forest,"2,603",33,94.20%,98.75%
Batman: Arkham Asylum GOTY Edition,"31,152","1,227",94.18%,96.21%
Our Life: Beginnings & Always,"2,542",32,94.17%,98.76%
S.T.A.L.K.E.R.: Call of Pripyat,"16,656",583,94.15%,96.62%
Yakuza: Like a Dragon,"8,708",251,94.15%,97.20%
Black Mesa,"57,158","2,517",94.11%,95.78%
Return of the Obra Dinn,"12,226",400,94.10%,96.83%
INSIDE,"29,110","1,167",94.08%,96.15%
Gorogoa,"7,613",215,94.07%,97.25%
shapez.io,"4,672",105,94.07%,97.80%
Age of Empires II (2013),"83,935","3,918",94.06%,95.54%
Supreme Commander: Forged Alliance,"8,594",255,94.06%,97.12%
Clone Drone in the Danger Zone,"10,171",321,94.05%,96.94%
Nova Drift,"4,121",87,94.05%,97.93%
Ultimate Chicken Horse,"19,857",760,93.99%,96.31%
POSTAL 2,"53,214","2,413",93.96%,95.66%
"Hot Dogs, Horseshoes & Hand Grenades","9,840",317,93.96%,96.88%
Backbone: Prologue,"3,799",80,93.95%,97.94%
Shadow Tactics: Blades of the Shogun,"23,151",927,93.94%,96.15%
Dying Light,"219,534","11,584",93.90%,94.99%
Mini Metro,"10,210",340,93.90%,96.78%
West of Loathing,"5,642",151,93.90%,97.39%
Gravitas,"4,377",103,93.90%,97.70%
Dungeon Munchies,"3,030",56,93.90%,98.19%
Hook,"7,753",237,93.89%,97.03%
Batman: Arkham City™,"1,906",21,93.89%,98.91%
The Binding of Isaac,"47,605","2,170",93.88%,95.64%
BioShock Infinite,"104,884","5,239",93.87%,95.24%
Everlasting Summer,"40,266","1,805",93.86%,95.71%
Left 4 Dead,"30,789","1,327",93.85%,95.87%
Opus Magnum,"3,899",88,93.85%,97.79%
DOOM,"136,507","7,053",93.82%,95.09%
Crypt of the NecroDancer,"19,010",756,93.82%,96.18%
Among Us,"487,937","27,501",93.81%,94.66%
Shovel Knight: Treasure Trove,"12,779",467,93.81%,96.47%
Samsara Room,"4,882",127,93.81%,97.46%
Bastion,"31,991","1,410",93.79%,95.78%
My Friend Pedro,"20,249",823,93.79%,96.09%
Monster Girl Island: Prologue,"13,179",487,93.79%,96.44%
Fran Bow,"7,990",257,93.78%,96.88%
The Elder Scrolls V: Skyrim,"282,093","15,552",93.77%,94.77%
Star Fetchers,"4,668",121,93.77%,97.47%
Besiege,"39,113","1,790",93.76%,95.62%
Marco & The Galaxy Dragon,"2,774",52,93.76%,98.16%
The Walking Dead: Season Two,"23,166",976,93.75%,95.96%
